주문번호,수령방법,결제방법,항목,추가선택,드레싱,서비스타입,주문금액,배달팁,결제금액,주문시각,접수시각,배달시각,주소,요청사항,배달요청사항
4611531,,나우웨이팅 POS,렌치 추가,,,onsite,500,0,500,2020-08-17 13:26:06,-,-,X,,-
4611469,매장식사,나우웨이팅 POS,닭가슴살 샐러드,"강낭콩 X, 올리브 X, 할라피뇨 X, 고구마(100g)",발사믹,onsite,7300,0,7300,2020-08-17 13:24:16,-,-,X,,-
4611379,포장,나우웨이팅 POS,목살 샐러드,,오리엔탈,onsite,6400,0,6400,2020-08-17 13:20:43,-,-,X,,-
4611356,"매장식사, 매장식사",나우웨이팅 POS,"목살 샐러드, 닭가슴살 샐러드",,"오리엔탈, 렌치",onsite,12300,0,12300,2020-08-17 13:19:56,-,-,X,,-
4611260,"매장식사, 매장식사",나우웨이팅 POS,"훈제연어 샐러드, 이너프 샐러드",,"렌치, 오리엔탈",onsite,11200,0,11200,2020-08-17 13:16:53,-,-,X,,-
4610920,"매장식사, 매장식사",나우웨이팅 POS,"훈제연어 샐러드, 목살 샐러드","목살(100g) 추가, 올리브 X, 고구마(50g)","렌치, 렌치",onsite,16600,0,16600,2020-08-17 13:03:37,-,-,X,,-
4610881,포장,나우웨이팅 POS,목살 샐러드,,렌치,onsite,6400,0,6400,2020-08-17 13:01:57,-,-,X,,-
4610755,포장,나우웨이팅 POS,닭가슴살 샐러드,"할라피뇨 X, 방울토마토 X, 고구마(50g)",렌치,onsite,6600,0,6600,2020-08-17 12:56:58,-,-,X,,-
4610660,포장,나우웨이팅 POS,이너프 샐러드,,발사믹,onsite,4300,0,4300,2020-08-17 12:51:56,-,-,X,,-
4610625,"매장식사, 매장식사",나우웨이팅 POS,"닭가슴살 샐러드, 목살 샐러드","강낭콩 X, 올리브 X, 올리브 X, 할라피뇨 X, 고구마(50g)","렌치, 렌치",onsite,13000,0,13000,2020-08-17 12:50:30,-,-,X,,-
4610555,매장식사,나우웨이팅 POS,"닭가슴살 샐러드, 닭가슴살 샐러드",,렌치,onsite,11800,0,11800,2020-08-17 12:47:45,-,-,X,,-
4610488,"매장식사, 매장식사",나우웨이팅 POS,"목살 샐러드, 훈제연어 샐러드",,"발사믹, 렌치",onsite,13300,0,13300,2020-08-17 12:44:28,-,-,X,,-
4610442,"포장, 포장, 포장",나우웨이팅 POS,"닭가슴살 샐러드, 목살 샐러드, 목살 샐러드","고구마(50g), 고구마(100g), 올리브 X, 할라피뇨 X, 양파 X, 아몬드 X, 고구마(50g)","오리엔탈, 렌치, 오리엔탈",onsite,21500,0,21500,2020-08-17 12:42:16,-,-,X,,-
4610130,포장,나우웨이팅 POS,목살 샐러드,"삶은달걀 추가, 삶은달걀 추가",렌치,onsite,7400,0,7400,2020-08-17 12:28:27,-,-,X,,-
4610003,포장,나우웨이팅 POS,닭가슴살 샐러드,아몬드 X,드레싱 제외,onsite,5900,0,5900,2020-08-17 12:22:38,-,-,X,,-
4609987,매장식사,나우웨이팅 POS,숲속 샐러드,"할라피뇨 X, 양파 X, 고구마(50g)",렌치,onsite,6600,0,4600,2020-08-17 12:21:56,-,-,X,,-
4609976,"매장식사, 매장식사",나우웨이팅 POS,"닭가슴살 샐러드, 훈제연어 샐러드",고구마(100g),"오리엔탈, 렌치",onsite,14200,0,14200,2020-08-17 12:21:19,-,-,X,,-
4636524,매장식사,나우웨이팅 POS,숲속 샐러드,,렌치,onsite,5900,0,5900,2020-08-18 18:57:31,-,-,X,,-
4636519,포장,나우웨이팅 POS,닭가슴살 샐러드,,오리엔탈,onsite,5900,0,5900,2020-08-18 18:56:51,-,-,X,,-
4636496,포장,나우웨이팅 POS,"닭가슴살 샐러드, 닭가슴살 샐러드",,오리엔탈,onsite,11800,0,11800,2020-08-18 18:55:23,-,-,X,,-
